,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
152,152,19115,IRAPE,506.68,20,46,0,46,24.28,88.55,,02/06/2022,2022-06-02,69.684375,328.211348188059,66.89614806656903,66.68084845759068,2.788226933430977,3.0035265424093183
153,153,19115,IRAPE,506.65,20,46,0,46,23.72,88.46,,03/06/2022,2022-06-03,69.82,327.833999002507,66.88544230761485,66.6701426986365,2.934557692385141,3.1498573013634967
154,154,19115,IRAPE,506.64,20,46,0,46,23.76,88.42,,04/06/2022,2022-06-04,69.867625,327.702026615691,66.8806841925241,66.66538458354576,2.9869408074759036,3.202240416454245
155,155,19115,IRAPE,506.62,18,47,0,47,23.8,88.35,,05/06/2022,2022-06-05,69.246375,333.046448067265,68.3333538347585,68.12822326268666,0.9130211652415028,1.1181517373133403
156,156,19115,IRAPE,506.6,20,49,0,49,23.85,88.28,,06/06/2022,2022-06-06,73.25975,330.461733572188,71.24740223552976,71.06426096080574,2.012347764470235,2.195489039194257
157,157,19115,IRAPE,506.57,20,64,0,64,23.49,88.18,,07/06/2022,2022-06-07,96.5329166666667,328.873112992326,93.18935522781184,93.23757546123139,3.3435614388548487,3.2953412054353066
158,158,19115,IRAPE,506.55,20,46,0,46,23.53,88.12,,08/06/2022,2022-06-08,66.8013333333334,335.465106159163,66.84499832934353,66.62969872036518,0.04366499601012208,0.17163461296821936
159,159,19115,IRAPE,506.53,18,47,0,47,23.18,88.05,,09/06/2022,2022-06-09,66.6690416666667,339.416813699131,68.29689219194356,68.09176161987172,1.6278505252768554,1.4227199532050179
160,160,19115,IRAPE,506.51,18,47,0,47,22.82,87.98,,10/06/2022,2022-06-10,67.1202083333333,338.265915499088,68.28838447528673,68.08325390321488,1.1681761419534382,0.9630455698815865
161,161,19115,IRAPE,506.49,18,47,0,47,22.46,87.91,,11/06/2022,2022-06-11,67.0409583333333,338.444564222442,68.27987675862991,68.07474618655807,1.2389184252966174,1.03378785322478
162,162,19115,IRAPE,506.47,18,47,0,47,21.31,87.85,,12/06/2022,2022-06-12,67.155,338.138706411811,68.27258443006691,68.06745385799508,1.1175844300669127,0.9124538579950752
163,163,19115,IRAPE,506.45,15,47,0,47,20.95,87.77,,13/06/2022,2022-06-13,67.1549583333333,338.118810853832,68.26286132531627,68.05773075324443,1.107902991982968,0.9027724199111304
164,164,19115,IRAPE,506.43,15,47,0,47,20.59,87.7,,14/06/2022,2022-06-14,67.9190416666666,336.183553078399,68.25435360865946,68.04922303658762,0.3353119419928561,0.13018136992101859
165,165,19115,IRAPE,506.4,16,48,0,48,20.24,87.62,,15/06/2022,2022-06-15,68.4589583333333,338.375189345653,69.7040476039876,69.50963811306382,1.2450892706543044,1.0506797797305154
166,166,19115,IRAPE,506.38,16,48,0,48,20.48,87.55,,16/06/2022,2022-06-16,67.9849166666667,339.518671280276,69.69535887208278,69.50094938115899,1.7104422054160722,1.5160327144922832
167,167,19115,IRAPE,506.36,16,48,0,48,20.93,87.47,,17/06/2022,2022-06-17,67.9545,339.573325566316,69.68542889276297,69.49101940183918,1.7309288927629751,1.5365194018391861
168,168,19115,IRAPE,506.34,13,54,17,37,21.97,87.4,,18/06/2022,2022-06-18,52.2679166666667,339.91528138574,53.74339591759169,53.66202022451609,1.475479250924991,1.394103557849391
169,169,19115,IRAPE,506.32,20,46,0,46,20.61,87.34,,19/06/2022,2022-06-19,66.769625,335.316314371208,66.75221508507401,66.53691547609567,0.017409914925991643,0.23270952390433308
170,170,19115,IRAPE,506.3,15,47,0,47,20.46,87.26,,20/06/2022,2022-06-20,68.778625,333.898914191543,68.20087653253087,67.99574596045902,0.5777484674691351,0.7828790395409868
171,171,19115,IRAPE,506.28,15,47,0,47,21.3,87.2,,21/06/2022,2022-06-21,69.4335,332.237398952341,68.19358420396787,67.98845363189604,1.2399157960321219,1.4450463681039594
172,172,19115,IRAPE,506.26,15,47,0,47,20.74,87.12,,22/06/2022,2022-06-22,70.0410416666667,330.694529848645,68.18386109921722,67.97873052714539,1.8571805674494755,2.062311139521313
173,173,19115,IRAPE,506.23,17,61,0,61,20.98,87.02,,23/06/2022,2022-06-23,102.927458333333,307.444007299302,88.60989709563212,88.60287306321753,14.317561237700886,14.324585270115477
174,174,19115,IRAPE,506.2,20,55,0,55,20.22,86.93,,24/06/2022,2022-06-24,70.73125,354.692891735767,79.83046881341176,79.72615259355686,9.099218813411753,8.994902593556859
175,175,19115,IRAPE,506.18,16,48,0,48,20.86,86.85,,25/06/2022,2022-06-25,71.0160833333333,331.879013744902,69.60847155303439,69.41406206211059,1.4076117802989074,1.6020212712227107
176,176,19115,IRAPE,506.16,16,48,0,48,20.1,86.78,,26/06/2022,2022-06-26,71.0383333333334,331.804403623334,69.59978282112955,69.40537333020576,1.4385505122038467,1.6329600031276357
