,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
152,152,19018,NOVA PONTE,801.98,144.18,108,0,108,154.65,53.86,,02/06/2022,2022-06-02,97.2582916666667,695.886873777898,94.95708725395905,97.0947555718526,2.301204412707648,0.16353609481409137
153,153,19018,NOVA PONTE,801.99,138.89,110,0,110,152.51,53.88,,03/06/2022,2022-06-03,99.8207916666667,695.081388247323,97.04756081938717,99.16992863348929,2.773230847279521,0.6508630331774015
154,154,19018,NOVA PONTE,802.0,138.89,110,0,110,149.83,53.91,,04/06/2022,2022-06-04,98.98525,695.986257924806,97.05891421998768,99.1812820340898,1.9263357800123089,0.19603203408981074
155,155,19018,NOVA PONTE,802.01,129.67,108,0,108,148.59,53.92,,05/06/2022,2022-06-05,96.2545416666667,697.011803306482,94.97938120422906,97.1170495221226,1.2751604624376398,0.8625078554559025
156,156,19018,NOVA PONTE,802.02,136.89,108,0,108,147.78,53.95,,06/06/2022,2022-06-06,97.9794583333333,695.140197136938,94.9905281793641,97.12819649725765,2.988930153969193,0.8512618360756505
157,157,19018,NOVA PONTE,802.03,139.18,103,0,103,147.63,53.98,,07/06/2022,2022-06-07,97.9888333333333,689.951134140005,89.84396478357257,91.93542306352583,8.14486854976073,6.053410269807472
158,158,19018,NOVA PONTE,802.04,137.16,101,0,101,147.6,54.01,,08/06/2022,2022-06-08,97.6687916666667,688.115060564199,87.81195130639348,89.85423103783955,9.856840360273225,7.814560628827152
159,159,19018,NOVA PONTE,802.05,144.11,108,0,108,147.87,54.04,,09/06/2022,2022-06-09,98.1409166666667,694.99407210899,95.02396910476915,97.1616374226627,3.116947561897547,0.9792792440040046
160,160,19018,NOVA PONTE,802.05,129.67,108,0,108,144.66,54.06,,10/06/2022,2022-06-10,98.112875,695.024661049328,95.03140042152592,97.16906873941947,3.0814745784740865,0.94380626058053
161,161,19018,NOVA PONTE,802.06,130.67,109,0,109,148.34,54.09,,11/06/2022,2022-06-11,98.0847916666666,696.046898235403,96.08331628261246,98.21589634213619,2.001475384054146,0.1311046754695866
162,162,19018,NOVA PONTE,802.07,142.11,106,0,106,147.95,54.12,,12/06/2022,2022-06-12,94.4113333333334,697.13928524111,92.98079853950685,95.11386917452302,1.4305347938265527,0.702535841189615
163,163,19018,NOVA PONTE,802.08,142.2,106,0,106,148.9,54.15,,13/06/2022,2022-06-13,95.8125,695.591999535689,92.99173908917643,95.1248097241926,2.820760910823566,0.6876902758073982
164,164,19018,NOVA PONTE,802.09,136.89,108,0,108,147.07,54.18,,14/06/2022,2022-06-14,97.9291666666667,695.265057242418,95.07598832206602,97.21365663995957,2.8531783446006784,0.7155100267071361
