,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
152,152,19120,QUEIMADO,827.99,15.49,21,0,21,17.79,90.89,,02/06/2022,2022-06-02,29.3220833333333,663.492275648424,30.502103663982567,30.478674059324586,1.180020330649267,1.1565907259912862
153,153,19120,QUEIMADO,827.97,15.13,23,0,23,17.81,90.77,,03/06/2022,2022-06-03,32.6417916666667,660.772215662371,33.66440359904625,33.71274194846973,1.0226119323795544,1.0709502818030288
154,154,19120,QUEIMADO,827.96,14.7,21,0,21,17.61,90.61,,04/06/2022,2022-06-04,29.1999166666667,664.147634135058,30.495920814874427,30.472491210216447,1.2960041482077287,1.272574543549748
155,155,19120,QUEIMADO,827.93,14.92,22,0,22,17.47,90.42,,05/06/2022,2022-06-05,30.7070416666667,663.492955332121,32.06817475944145,32.077485260792,1.3611330927747467,1.3704435941253017
156,156,19120,QUEIMADO,827.92,14.7,21,0,21,17.39,90.28,,06/06/2022,2022-06-06,29.653875,661.560914929097,30.48863388556841,30.46520428091043,0.8347588855684123,0.8113292809104315
157,157,19120,QUEIMADO,827.9,14.49,20,0,20,17.24,90.15,,07/06/2022,2022-06-07,29.7335833333333,652.753436349435,28.92091250950694,28.87124751901805,0.8126708238263589,0.8623358143152515
158,158,19120,QUEIMADO,827.89,14.49,20,0,20,16.74,90.03,,08/06/2022,2022-06-08,29.7684166666667,652.538249555585,28.91838889762606,28.868723907137166,0.8500277690406399,0.8996927595295325
159,159,19120,QUEIMADO,827.87,13.25,21,0,21,16.28,89.86,,09/06/2022,2022-06-09,29.92275,660.002518505411,30.479359611906215,30.455930007248234,0.5566096119062145,0.5331800072482338
160,160,19120,QUEIMADO,827.85,13.13,21,0,21,15.82,89.69,,10/06/2022,2022-06-10,29.2655416666667,663.669476012122,30.475605739233412,30.452176134575435,1.2100640725667127,1.1866344679087355
161,161,19120,QUEIMADO,827.83,13.94,21,0,21,16.33,89.49,,11/06/2022,2022-06-11,29.0577916666667,664.814959441302,30.47118941844189,30.447759813783914,1.413397751775193,1.3899681471172158
162,162,19120,QUEIMADO,827.81,13.22,21,0,21,16.32,89.32,,12/06/2022,2022-06-12,29.0937916666667,664.592998413863,30.467435545769092,30.44400594111111,1.3736438791023922,1.3502142744444114
163,163,19120,QUEIMADO,827.78,13.2,21,0,21,15.8,89.11,,13/06/2022,2022-06-13,29.2832916666667,663.499898005537,30.46279840893798,30.439368804280008,1.1795067422712826,1.156077137613309
164,164,19120,QUEIMADO,827.76,13.18,21,0,21,15.82,88.94,,14/06/2022,2022-06-14,29.3296666666667,663.219732931996,30.459044536265203,30.435614931607223,1.1293778695985033,1.1059482649405226
165,165,19120,QUEIMADO,827.74,12.46,21,0,21,15.31,88.75,,15/06/2022,2022-06-15,29.6185416666667,661.57913593751,30.45484903151325,30.43141942685527,0.8363073648465473,0.8128777601885702
166,166,19120,QUEIMADO,827.72,12.46,21,0,21,15.35,88.56,,16/06/2022,2022-06-16,28.65825,666.946399594212,30.45065352676129,30.427223922103316,1.7924035267612908,1.7689739221033172
167,167,19120,QUEIMADO,827.7,13.25,21,0,21,15.05,88.39,,17/06/2022,2022-06-17,29.4750833333333,662.343941281808,30.446899654088494,30.423470049430513,0.9718163207551953,0.9483867160972146
168,168,19120,QUEIMADO,827.68,11.46,20,0,20,14.74,88.2,,18/06/2022,2022-06-18,28.9609583333333,657.084607065169,28.879903816442788,28.83023882595389,0.0810545168905108,0.13071950737940696
169,169,19120,QUEIMADO,827.66,12.25,20,0,20,14.51,88.01,,19/06/2022,2022-06-19,29.2713333333333,655.236333826669,28.8759080976314,28.82624310714251,0.39542523570190014,0.4450902261907892
