,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
152,152,19027,SÃO SIMÃO,395.33,1559.63,1430.0,0.0,1430.0,1234.71,41.55,,02/06/2022,2022-06-02,855.069125,324.885100634293,863.2149105313399,860.4417099375684,8.145785531339925,5.3725849375683765
153,153,19027,SÃO SIMÃO,395.34,1564.37,1694.0,0.0,1694.0,1250.23,41.65,,03/06/2022,2022-06-03,1007.074125,325.30221591171,1020.7388215165175,1020.1744994488063,13.664696516517552,13.100374448806292
154,154,19027,SÃO SIMÃO,395.34,1134.0,1134.0,0.0,1134.0,1217.99,41.65,,04/06/2022,2022-06-04,677.551791666667,324.949539100697,686.1273722740143,684.5159965022509,8.57558060734732,6.964204835583928
155,155,19027,SÃO SIMÃO,395.31,787.56,982.0,0.0,982.0,1209.08,41.35,,05/06/2022,2022-06-05,597.114291666667,323.674162346805,594.5638618966346,595.0386106825533,2.5504297700323377,2.07568098411366
156,156,19027,SÃO SIMÃO,395.25,746.11,1135.0,0.0,1135.0,1191.11,40.74,,06/06/2022,2022-06-06,678.231333333333,324.851022140233,685.818193502542,684.1960783413783,7.58686016920899,5.96474500804527
157,157,19027,SÃO SIMÃO,395.17,1033.48,1552.0,0.0,1552.0,1179.2,39.93,,07/06/2022,2022-06-07,921.459958333333,325.222996160689,933.8049461397242,931.729833309535,12.344987806391146,10.269874976202004
158,158,19027,SÃO SIMÃO,395.17,1398.0,1398.0,0.0,1398.0,1169.34,39.93,,08/06/2022,2022-06-08,829.131541666667,325.298409259626,842.1034789835595,839.256007400207,12.971937316892536,10.124465733539978
159,159,19027,SÃO SIMÃO,395.19,1579.63,1450.0,0.0,1450.0,1169.74,40.13,,09/06/2022,2022-06-09,862.376166666667,325.123066861303,873.346465541258,870.6435260383652,10.97029887459098,8.267359371698149
160,160,19027,SÃO SIMÃO,395.22,1731.07,1407.0,0.0,1407.0,1164.67,40.44,,10/06/2022,2022-06-10,834.279583333333,325.364294435524,848.1001100087365,845.2687266745452,13.820526675403471,10.989143341212184
161,161,19027,SÃO SIMÃO,395.18,1016.74,1276.0,0.0,1276.0,1173.24,40.03,,11/06/2022,2022-06-11,761.089791666667,324.910059163453,769.4195058963451,766.7337485280556,8.329714229678075,5.643956861388574
162,162,19027,SÃO SIMÃO,395.13,714.93,1039.0,0.0,1039.0,1173.25,39.53,,12/06/2022,2022-06-12,614.118458333333,325.496060017607,627.1473810277404,626.7412215034645,13.028922694407356,12.62276317013152
163,163,19027,SÃO SIMÃO,395.09,925.74,1185.0,0.0,1185.0,1186.37,39.12,,13/06/2022,2022-06-13,700.775583333333,325.420133776375,714.0772222312498,711.9738293426586,13.30163889791686,11.198246009325658
164,164,19027,SÃO SIMÃO,395.05,805.74,1065.0,0.0,1065.0,1196.69,38.72,,14/06/2022,2022-06-14,629.67925,325.394704381076,641.9587058946845,641.1878641705138,12.279455894684475,11.508614170513738
165,165,19027,SÃO SIMÃO,395.02,864.56,1059.0,0.0,1059.0,1196.23,38.42,,15/06/2022,2022-06-15,626.301958333333,325.345770463872,638.0906209310991,637.4017275936671,11.78866259776612,11.099769260334142
166,166,19027,SÃO SIMÃO,394.95,869.55,1167.0,0.0,1167.0,1181.52,37.75,,16/06/2022,2022-06-16,690.249833333333,325.268126341904,701.9164926756025,699.9736115951317,11.666659342269554,9.72377826179877
167,167,19027,SÃO SIMÃO,394.92,809.04,1047.0,0.0,1047.0,1169.68,37.47,,17/06/2022,2022-06-17,618.399083333333,325.3364597531,630.0404237796823,629.5194288445623,11.641340446349318,11.120345511229289
168,168,19027,SÃO SIMÃO,394.9,926.02,1045.0,0.0,1045.0,1169.78,37.29,,18/06/2022,2022-06-18,617.512083333333,325.283283601062,628.6806203296788,628.1881190236239,11.168536996345892,10.676035690290973
169,169,19027,SÃO SIMÃO,394.9,1051.0,1051.0,0.0,1051.0,1161.96,37.29,,19/06/2022,2022-06-19,620.80475,325.31162733557,632.2622384715233,631.6846910645136,11.457488471523334,10.87994106451356
170,170,19027,SÃO SIMÃO,394.89,1150.51,1210.0,0.0,1210.0,1164.33,37.19,,20/06/2022,2022-06-20,715.637833333333,325.212543756174,726.9519873914911,724.6500812240179,11.314154058158124,9.012247890684876
171,171,19027,SÃO SIMÃO,394.9,1265.49,1206.0,0.0,1206.0,1181.09,37.29,,21/06/2022,2022-06-21,715.853458333333,324.970377308862,724.6764441464805,722.4043697393677,8.822985813147511,6.550911406034629
