,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
0,0,19115,IRAPE,496.14,984,51,0,51,983.37,55.52,,01/01/2022,2022-01-01,68.3178333333333,338.325002145552,69.8507203607941,69.69173732004876,1.5328870274608022,1.3739039867154617
1,1,19115,IRAPE,496.99,1057,51,0,51,1056.34,57.87,,02/01/2022,2022-01-02,68.4495416666667,338.870754347748,70.16064432472113,70.00166128397582,1.711102658054429,1.552119617309117
2,2,19115,IRAPE,497.62,798,51,0,51,797.32,59.62,,03/01/2022,2022-01-03,68.2964166666667,339.854474897235,70.39143876594339,70.23245572519807,2.09502209927669,1.9360390585313638
3,3,19115,IRAPE,498.1,620,50,0,50,619.3,60.96,,04/01/2022,2022-01-04,67.8684583333333,338.187524950027,69.17675975610766,69.00542893008199,1.3083014227743632,1.1369705967486965
4,4,19115,IRAPE,498.55,585,50,0,50,584.28,62.21,,05/01/2022,2022-01-05,68.098875,338.094614438071,69.3383805132661,69.16704968724045,1.2395055132660957,1.0681746872404432
5,5,19115,IRAPE,499.02,610,50,0,50,609.27,63.52,,06/01/2022,2022-01-06,68.3077916666667,338.07236248383,69.50775906676816,69.33642824074249,1.1999674001014569,1.0286365740757901
6,6,19115,IRAPE,499.54,670,50,0,50,669.25,64.97,,07/01/2022,2022-01-07,68.6700833333333,337.738726516116,69.69523914507197,69.5239083190463,1.0251558117386708,0.853824985713004
7,7,19115,IRAPE,500.12,773,50,0,50,772.24,66.66,,08/01/2022,2022-01-08,68.0012916666667,339.894541457782,69.91375040875018,69.74241958272451,1.9124587420834729,1.7411279160578061
8,8,19115,IRAPE,500.73,899,50,0,50,898.23,68.65,,09/01/2022,2022-01-09,68.8057916666667,338.608968914409,70.17105065414643,69.99971982812076,1.36525898747972,1.1939281614540533
9,9,19115,IRAPE,501.4,992,49,0,49,991.22,70.85,,10/01/2022,2022-01-10,68.435125,336.861569548482,69.03883519446873,68.85569391974472,0.6037101944687322,0.4205689197447242
10,10,19115,IRAPE,502.03,973,49,0,49,972.22,72.95,,11/01/2022,2022-01-11,68.7155833333333,336.817264153793,69.30492760905439,69.12178633433038,0.5893442757210892,0.4062030009970812
11,11,19115,IRAPE,502.6,858,50,0,50,857.21,74.82,,12/01/2022,2022-01-12,70.219125,337.148855973079,70.96881071148051,70.79747988545485,0.7496857114805096,0.5783548854548428
12,12,19115,IRAPE,503.04,675,49,0,49,674.22,76.29,,13/01/2022,2022-01-13,68.6738333333333,337.927643593026,69.72814125891921,69.54499998419519,1.0543079255859027,0.8711666508618805
13,13,19115,IRAPE,503.4,563,49,0,49,562.22,77.49,,14/01/2022,2022-01-14,68.3217083333333,339.134257007157,69.88019406725385,69.69705279252986,1.5584857339205485,1.3753444591965547
14,14,19115,IRAPE,503.66,421,49,0,49,420.23,78.36,,15/01/2022,2022-01-15,68.095875,339.937227626562,69.9904323532965,69.80729107857249,1.8945573532964914,1.7114160785724835
15,15,19115,IRAPE,503.81,264,49,0,49,263.24,78.86,,16/01/2022,2022-01-16,67.9362916666666,340.470913507064,70.05378769010262,69.87064641537862,2.1174960234360185,1.9343547487120105
16,16,19115,IRAPE,503.93,221,49,0,49,220.26,79.26,,17/01/2022,2022-01-17,68.658375,338.854810032104,70.1044719595475,69.92133068482349,1.4460969595474893,1.2629556848234813
17,17,19115,IRAPE,504.03,192,49,0,49,191.28,79.6,,18/01/2022,2022-01-18,68.7509583333333,338.732212113964,70.14755358857566,69.96441231385167,1.3965952552423602,1.2134539805183664
18,18,19115,IRAPE,504.11,163,48,0,48,162.31,79.87,,19/01/2022,2022-01-19,68.49975,335.985070789444,68.74208085738054,68.54767136645674,0.24233085738053717,0.04792136645673395
19,19,19115,IRAPE,504.19,165,50,2,48,163.33,80.14,,20/01/2022,2022-01-20,68.8045,335.317096203012,68.79040190778898,68.62592431480434,0.014098092211028757,0.1785756851956677
20,20,19115,IRAPE,504.27,164,49,0,49,148.56,80.41,,21/01/2022,2022-01-21,68.7505416666667,338.973213904775,70.25018923420157,70.06704795947756,1.4996475675348648,1.3165062928108568
21,21,19115,IRAPE,504.33,134,48,0,48,140.19,80.61,,22/01/2022,2022-01-22,68.6782083333333,335.767064889295,68.83393316608883,68.63952367516504,0.1557248327555243,0.03868465816826472
22,22,19115,IRAPE,504.38,120,48,0,48,128.42,80.77,,23/01/2022,2022-01-23,68.6981666666667,335.768079405716,68.85379312472845,68.65938363380467,0.1556264580617608,0.03878303286202822
