,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
0,0,19018,NOVA PONTE,786.07,326.12,51,0,51,282.42,16.07,,01/01/2022,2022-01-01,31.224,713.942193063198,33.92311828887657,32.36546142581176,2.699118288876573,1.1414614258117588
1,1,19018,NOVA PONTE,786.27,504.56,46,0,46,470.89,16.45,,02/01/2022,2022-01-02,31.153125,706.483732009811,30.318273669090757,28.468264130294997,0.8348513309092418,2.684860869705002
2,2,19018,NOVA PONTE,786.45,546.73,134,0,134,600.55,16.79,,03/01/2022,2022-01-03,116.71925,683.832352261506,105.86518195702227,105.80150478456622,10.85406804297773,10.917745215433783
3,3,19018,NOVA PONTE,786.64,495.65,60,0,60,546.47,17.15,,04/01/2022,2022-01-04,30.8794166666667,726.007956920758,40.92884328795166,40.02560100811104,10.049426621284958,9.14618434144434
4,4,19018,NOVA PONTE,786.84,597.56,139,0,139,523.0,17.54,,05/01/2022,2022-01-05,120.402,684.792289340462,111.19897518158696,110.09352760133834,9.203024818413041,10.308472398661664
5,5,19018,NOVA PONTE,787.06,635.35,85,0,85,552.55,17.96,,06/01/2022,2022-01-06,66.1004166666667,695.444356422454,61.35319717856398,62.527296659824565,4.747219488102722,3.5731200068421387
6,6,19018,NOVA PONTE,787.37,765.6,64,0,64,640.57,18.54,,07/01/2022,2022-01-07,41.4937916666667,710.988617732518,44.34102324067057,43.76512845012681,2.847231574003871,2.2713367834601073
7,7,19018,NOVA PONTE,787.76,957.26,54,0,54,845.99,19.29,,08/01/2022,2022-01-08,31.5531666666667,718.92115785075,36.755722691342704,35.400366026607195,5.202556024676003,3.8471993599404932
8,8,19018,NOVA PONTE,788.21,1076.83,45,0,45,1065.36,20.15,,09/01/2022,2022-01-09,30.8107083333333,707.547155226114,30.16564869180556,28.26479008546213,0.6450596415277374,2.5459182478711675
9,9,19018,NOVA PONTE,788.69,1145.46,45,0,45,1171.46,21.07,,10/01/2022,2022-01-10,30.6420416666667,708.46872680586,30.308082262975425,28.407223656631995,0.3339594036912743,2.2348180100347044
10,10,19018,NOVA PONTE,789.15,1185.75,131,0,131,1329.16,21.94,,11/01/2022,2022-01-11,115.509208333333,685.270541503951,105.23658036826404,105.68694079751353,10.272627965068963,9.822267535819478
11,11,19018,NOVA PONTE,789.63,1159.46,59,0,59,1415.99,22.86,,12/01/2022,2022-01-12,31.7642083333333,726.203552181439,41.3187315608704,40.33644260264392,9.554523227537096,8.57223426931062
12,12,19018,NOVA PONTE,790.06,1055.53,45,0,45,1273.52,23.7,,13/01/2022,2022-01-13,31.8703333333333,706.623042863333,30.715256493602272,28.814397887258842,1.1550768397310271,3.055935446074457
13,13,19018,NOVA PONTE,790.29,714.64,93,0,93,848.5,24.22,,14/01/2022,2022-01-14,82.3967083333333,685.911445243517,70.22775929780553,71.92664558028311,12.16894903552776,10.470062753050186
14,14,19018,NOVA PONTE,790.44,548.32,143,0,143,618.62,24.56,,15/01/2022,2022-01-15,115.797291666667,695.040361306698,118.69619429066567,116.57831882846928,2.89890262399868,0.7810271618022853
15,15,19018,NOVA PONTE,790.56,466.31,142,0,142,516.27,24.83,,16/01/2022,2022-01-16,115.761541666667,694.518192928058,117.7886455394958,115.93949690312255,2.0271038728288033,0.17795523645554567
16,16,19018,NOVA PONTE,790.67,439.34,142,0,142,457.88,25.07,,17/01/2022,2022-01-17,115.899458333333,694.513770074826,117.90589520387917,116.05674656750591,2.0064368705461675,0.15728823417290982
17,17,19018,NOVA PONTE,790.79,466.31,142,0,142,465.98,25.34,,18/01/2022,2022-01-18,116.203041666667,694.381901522365,118.03780107631034,116.18865243993709,1.8347594096433397,0.014389226729917937
18,18,19018,NOVA PONTE,790.91,466.31,142,0,142,452.29,25.61,,19/01/2022,2022-01-19,118.830583333333,692.321956039692,118.1697069487415,116.32055831236825,0.6608763845914893,2.510025020964747
19,19,19018,NOVA PONTE,791.04,454.06,146,0,146,443.42,25.92,,20/01/2022,2022-01-20,122.082708333333,692.528787412735,122.51538556533521,119.52635731444154,0.43267723200220587,2.556351018891462
