,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
0,0,19120,QUEIMADO,823.68,63.62,12,0,12,63.74,57.54,,01/01/2022,2022-01-01,18.9298333333333,637.835415800245,16.397963367629142,16.356668621857896,2.531869965704157,2.5731647114754033
1,1,19120,QUEIMADO,823.84,62.39,12,0,12,64.0,58.66,,02/01/2022,2022-01-02,18.98725,637.431724807572,16.412095594162018,16.370800848390772,2.5751544058379814,2.6164491516092276
2,2,19120,QUEIMADO,824.01,63.57,12,0,12,63.07,59.8,,03/01/2022,2022-01-03,18.9852083333333,637.621768972043,16.426480181882994,16.385185436111747,2.558728151450307,2.600022897221553
3,3,19120,QUEIMADO,824.17,60.87,12,0,12,63.57,60.89,,04/01/2022,2022-01-04,18.9285,638.338505866838,16.440233866633744,16.3989391208625,2.488266133366256,2.529560879137499
4,4,19120,QUEIMADO,824.33,63.94,12,0,12,63.42,62.04,,05/01/2022,2022-01-05,18.9075833333333,638.70385628652,16.454744634948746,16.4134498891775,2.4528386983845536,2.4941334441558
5,5,19120,QUEIMADO,824.47,63.04,12,0,12,64.47,63.03,,06/01/2022,2022-01-06,19.6745,631.314613607899,16.46723651375907,16.425941767987823,3.2072634862409295,3.2485582320121758
6,6,19120,QUEIMADO,824.63,63.62,12,0,12,63.88,64.18,,07/01/2022,2022-01-07,19.5685,632.515273902064,16.481747282074068,16.44045253630283,3.0867527179259326,3.128047463697172
7,7,19120,QUEIMADO,824.79,62.79,12,0,12,63.33,65.3,,08/01/2022,2022-01-08,19.5697916666667,632.662592900052,16.495879508606958,16.454584762835715,3.0739121580597413,3.115206903830984
8,8,19120,QUEIMADO,824.87,60.77,26,0,26,61.9,65.88,,09/01/2022,2022-01-09,47.6694583333333,608.87125167539,37.8162180925416,38.015289658864255,9.853240240791706,9.654168674469048
9,9,19120,QUEIMADO,824.93,62.13,41,0,41,63.01,66.35,,10/01/2022,2022-01-10,64.9548333333333,638.286881829315,63.13282293886201,63.95061896667835,1.8220103944712847,1.0042143666549492
10,10,19120,QUEIMADO,824.99,61.46,41,0,41,63.03,66.79,,11/01/2022,2022-01-11,64.9644583333333,638.319225072763,63.15179208816656,63.969588115982894,1.8126662451667386,0.9948702173504032
11,11,19120,QUEIMADO,825.11,65.68,41,0,41,64.91,67.71,,12/01/2022,2022-01-12,65.1255833333333,637.976243784505,63.19145485489425,64.00925088271059,1.9341284784390425,1.116332450622707
12,12,19120,QUEIMADO,825.18,63.08,41,0,41,62.76,68.2,,13/01/2022,2022-01-13,65.1509583333333,637.973330517231,63.212579589347065,64.0303756171634,1.9383787439862417,1.1205827161699062
13,13,19120,QUEIMADO,825.23,57.78,41,0,41,57.87,68.57,,14/01/2022,2022-01-14,65.033375,638.3611979068,63.22853091944408,64.04632694726041,1.8048440805559238,0.9870480527395955
14,14,19120,QUEIMADO,825.26,51.07,41,0,41,53.83,68.79,,15/01/2022,2022-01-15,65.0568333333334,638.323792045593,63.23801549409635,64.05581152191269,1.8188178392370489,1.0010218114207134
15,15,19120,QUEIMADO,825.29,51.07,41,0,41,50.49,69.02,,16/01/2022,2022-01-16,65.0160833333333,638.470884287619,63.24793118577825,64.06572721359458,1.7681521475550497,0.9503561197387143
16,16,19120,QUEIMADO,825.31,47.83,41,0,41,49.34,69.17,,17/01/2022,2022-01-17,65.0901666666667,638.27801107052,63.25439794122299,64.07219396903933,1.8357687254437138,1.0179726976273713
17,17,19120,QUEIMADO,825.33,46.37,41,0,41,45.73,69.29,,18/01/2022,2022-01-18,65.12925,638.185707877247,63.2595713455788,64.07736737339513,1.8696786544212003,1.0518826266048649
18,18,19120,QUEIMADO,825.35,44.36,41,0,41,46.38,69.47,,19/01/2022,2022-01-19,65.0647916666667,638.390924337794,63.267331452112465,64.0851274799288,1.7974602145542278,0.9796641867378924
19,19,19120,QUEIMADO,825.33,41.0,41,0,41,42.51,69.32,,20/01/2022,2022-01-20,65.1482083333333,638.131232447674,63.26086469666773,64.07866072448407,1.8873436366655696,1.0695476088492342
20,20,19120,QUEIMADO,825.33,41.0,41,0,41,41.14,69.32,,21/01/2022,2022-01-21,65.2286666666667,637.900041119093,63.26086469666773,64.07866072448407,1.9678019699989662,1.1500059421826307
21,21,19120,QUEIMADO,825.35,37.53,41,0,41,37.95,69.47,,22/01/2022,2022-01-22,65.0769166666667,638.356084008111,63.267331452112465,64.0851274799288,1.8095852145542395,0.9917891867379041
22,22,19120,QUEIMADO,825.33,34.29,41,0,41,35.69,69.32,,23/01/2022,2022-01-23,65.1985,637.986722901533,63.26086469666773,64.07866072448407,1.9376353033322644,1.119839275515929
23,23,19120,QUEIMADO,825.31,34.29,41,0,41,34.55,69.17,,24/01/2022,2022-01-24,65.1947916666667,637.97737853501,63.25439794122299,64.07219396903933,1.9403937254437125,1.12259769762737
24,24,19120,QUEIMADO,825.29,34.17,41,0,41,35.43,69.02,,25/01/2022,2022-01-25,65.1225416666667,638.16498379848,63.24793118577825,64.06572721359458,1.8746104808884567,1.0568144530721213
25,25,19120,QUEIMADO,825.28,36.97,41,0,41,38.09,68.93,,26/01/2022,2022-01-26,65.1165833333333,638.172104647775,63.24405113251142,64.06184716032776,1.8725322008218726,1.0547361730055371
26,26,19120,QUEIMADO,825.28,44.36,41,0,41,40.13,68.94,,27/01/2022,2022-01-27,65.201875,637.927025077807,63.24448224954109,64.06227827735742,1.957392750458908,1.1395967226425796
27,27,19120,QUEIMADO,825.28,41.0,41,0,41,41.57,68.94,,28/01/2022,2022-01-28,65.1837083333333,637.979225709222,63.24448224954109,64.06227827735742,1.9392260837922066,1.1214300559758783
28,28,19120,QUEIMADO,825.26,38.64,42,0,42,39.27,68.79,,29/01/2022,2022-01-29,71.497875,624.707440351155,65.01801640004685,65.7839943267911,6.479858599953147,5.713880673208891
29,29,19120,QUEIMADO,825.19,37.5,61,0,61,38.43,68.27,,30/01/2022,2022-01-30,97.593875,636.704870399748,100.95448720880577,92.12657385980933,3.360612208805776,5.467301140190671
30,30,19120,QUEIMADO,825.12,37.21,62,0,62,38.35,67.72,,31/01/2022,2022-01-31,97.8333333333333,639.219941364803,102.92438052208259,92.85623371375351,5.091047188749286,4.977099619579789
31,31,19120,QUEIMADO,825.13,39.64,43,0,43,38.83,67.79,,01/02/2022,2022-02-01,64.7818333333333,647.641939271806,66.76411736856716,67.45352739400953,1.9822840352338602,2.6716940606762307
32,32,19120,QUEIMADO,825.16,39.1,25,0,25,39.25,68.08,,02/02/2022,2022-02-02,34.7665833333333,661.325119220517,36.27814624523294,36.421899938351274,1.511562911899638,1.6553166050179726
33,33,19120,QUEIMADO,825.21,36.43,23,0,23,37.28,68.42,,03/02/2022,2022-02-03,36.084875,640.376054311246,33.1238774793121,33.17221582873557,2.960997520687897,2.91265917126443
34,34,19120,QUEIMADO,825.25,36.43,23,0,23,36.61,68.72,,04/02/2022,2022-02-04,36.2915,639.357679742179,33.13113286346959,33.179471212893056,3.160367136530411,3.1120287871069436
