,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
0,0,19027,SÃO SIMÃO,392.35,1417.17,713.0,0.0,713.0,2791.18,15.41,,01/01/2022,2022-01-01,421.93825,322.632190579573,416.2663715138072,421.7752501842227,5.671878486192782,0.16299981577725475
1,1,19027,SÃO SIMÃO,392.51,1566.67,700.0,0.0,700.0,3162.13,16.76,,02/01/2022,2022-01-02,413.858166666667,322.857316204927,409.54896587670606,415.3059198740376,4.309200789960926,1.4477532073706243
2,2,19027,SÃO SIMÃO,392.57,1613.0,1288.0,0.0,1288.0,3537.76,17.27,,03/01/2022,2022-01-03,755.787791666667,323.439710629087,750.7817910527566,748.0484889885678,5.006000613910373,7.739302678099193
3,3,19027,SÃO SIMÃO,392.6,1441.5,1279.0,0.0,1279.0,3845.71,17.52,,04/01/2022,2022-01-04,744.302125,324.041220143924,745.8682790192948,743.1699886276072,1.5661540192947996,1.1321363723928926
4,4,19027,SÃO SIMÃO,392.72,1886.0,1236.0,0.0,1236.0,4052.83,18.54,,05/01/2022,2022-01-05,724.579708333333,323.655946838189,722.13819922988,719.6605423574413,2.4415091034529723,4.919165975891701
5,5,19027,SÃO SIMÃO,392.83,1886.83,1291.0,0.0,1291.0,4262.47,19.47,,06/01/2022,2022-01-06,756.971333333333,323.752349757685,755.0134253664532,752.2693160778775,1.9579079668797021,4.7020172554554165
6,6,19027,SÃO SIMÃO,392.94,1816.83,1221.0,0.0,1221.0,4554.1,20.4,,07/01/2022,2022-01-07,718.42225,323.621608639361,715.4549395875953,713.0748236080311,2.967310412404686,5.347426391968838
7,7,19027,SÃO SIMÃO,393.14,2327.33,1244.0,0.0,1244.0,5114.54,22.09,,08/01/2022,2022-01-08,734.48725,323.581814204398,730.655430806513,728.130079404977,3.8318191934870356,6.357170595023035
8,8,19027,SÃO SIMÃO,393.43,2289.83,719.0,0.0,719.0,5528.86,24.54,,09/01/2022,2022-01-09,431.783791666667,322.680754824288,425.5286260472417,430.92225294473184,6.255165619425327,0.861538721935176
9,9,19027,SÃO SIMÃO,393.58,2239.5,1427.0,0.0,1427.0,5614.25,25.8,,10/01/2022,2022-01-10,847.482875,323.613310838317,841.6387724690572,838.856601577526,5.844102530942791,8.626273422474014
10,10,19027,SÃO SIMÃO,393.77,2361.17,1332.0,0.0,1332.0,6122.61,27.41,,11/01/2022,2022-01-11,846.773541666667,318.875932095653,788.0584052838868,785.2099376909882,58.7151363827802,61.5636039756788
11,11,19027,SÃO SIMÃO,393.73,2433.17,2054.0,0.0,2054.0,6747.02,27.07,,12/01/2022,2022-01-12,1212.35366666667,324.1934313138,1208.0122892267357,1212.2807445442375,4.3413774399343765,0.0729221224326011
12,12,19027,SÃO SIMÃO,393.8,2433.17,2054.0,0.0,2054.0,7253.87,27.66,,13/01/2022,2022-01-13,1235.40804166667,322.941109144303,1209.0790499517504,1213.347505269252,26.32899171491954,22.06053639741799
13,13,19027,SÃO SIMÃO,394.2,2653.67,2112.0,0.0,2112.0,7392.25,31.04,,14/01/2022,2022-01-14,1254.64775,324.21382415366,1248.9598458468574,1253.7259509937012,5.687904153142654,0.9217990062988974
14,14,19027,SÃO SIMÃO,394.25,2306.83,2036.0,0.0,2036.0,6933.22,31.46,,15/01/2022,2022-01-15,1209.80516666667,324.246133708724,1205.4567797455113,1209.5374195687828,4.348386921158635,0.2677470978871952
15,15,19027,SÃO SIMÃO,394.45,1977.33,894.0,0.0,894.0,6239.28,33.15,,16/01/2022,2022-01-16,540.510041666667,323.222022418597,535.1798382603647,537.1950598328423,5.330203406302303,3.3149818338247314
16,16,19027,SÃO SIMÃO,394.4,1824.67,1933.0,0.0,1933.0,5560.26,32.73,,17/01/2022,2022-01-17,1151.64941666667,324.210394202536,1147.5194648150782,1150.3124195407286,4.129951851591841,1.3369971259414797
17,17,19027,SÃO SIMÃO,394.42,1882.33,1774.0,0.0,1774.0,4976.01,32.9,,18/01/2022,2022-01-18,1057.76591666667,324.174207100672,1054.6489144204477,1055.1626827090683,3.1170022462222278,2.60323395760156
18,18,19027,SÃO SIMÃO,394.39,2032.5,2195.0,0.0,2195.0,4675.44,32.64,,19/01/2022,2022-01-19,1303.79654166667,324.412299776523,1300.3246738505472,1305.4345811033625,3.471867816122767,1.638039436692452
19,19,19027,SÃO SIMÃO,394.41,2175.83,2230.0,0.0,2230.0,4543.08,32.81,,20/01/2022,2022-01-20,1323.94354166667,324.466241194877,1321.045542708596,1326.1360747895603,2.897998958073913,2.1925331228903815
20,20,19027,SÃO SIMÃO,394.36,2118.17,2389.0,0.0,2389.0,4364.05,32.39,,21/01/2022,2022-01-21,1423.63925,324.1549797883,1412.6649307546647,1415.9955707068546,10.97431924533521,7.6436792931453965
21,21,19027,SÃO SIMÃO,394.47,2179.5,1692.0,0.0,1692.0,4168.84,33.32,,22/01/2022,2022-01-22,1008.237625,324.268416738832,1007.1419372933289,1006.5522832124826,1.0956877066711286,1.685341787517359
22,22,19027,SÃO SIMÃO,394.6,1807.41,1050.0,0.0,1050.0,3835.88,34.5,,23/01/2022,2022-01-23,667.263708333333,319.732631051186,629.0865812976191,628.5231174366472,38.177127035713966,38.74059089668583
23,23,19027,SÃO SIMÃO,394.54,1705.06,2062.0,0.0,2062.0,3488.14,33.95,,24/01/2022,2022-01-24,1310.494875,319.666000652227,1225.1319400041996,1229.479238236133,85.36293499580052,81.01563676386718
24,24,19027,SÃO SIMÃO,394.43,1875.87,2493.0,0.0,2493.0,3246.64,32.98,,25/01/2022,2022-01-25,1475.63645833333,324.696499974535,1474.3045199935411,1474.533726931375,1.3319383397888487,1.1027314019549976
25,25,19027,SÃO SIMÃO,394.32,1874.17,2470.0,0.0,2470.0,3113.5,32.05,,26/01/2022,2022-01-26,1461.81425,324.596432018001,1458.9333027892474,1460.0086434558887,2.880947210752538,1.8056065441112423
26,26,19027,SÃO SIMÃO,394.21,1873.17,2469.0,0.0,2469.0,3073.07,31.12,,27/01/2022,2022-01-27,1470.75708333333,324.031476925747,1456.3323733447328,1457.4423140029812,14.424709988597215,13.314769330348781
27,27,19027,SÃO SIMÃO,394.11,1704.33,2246.0,0.0,2246.0,3037.39,30.28,,28/01/2022,2022-01-28,1328.00895833333,324.451259434777,1325.3621408414635,1330.4058776521576,2.6468174918663863,2.396919318827713
28,28,19027,SÃO SIMÃO,394.14,1627.5,1465.0,0.0,1465.0,3057.01,30.53,,29/01/2022,2022-01-29,875.421333333333,323.741425286966,869.9033219059866,867.2648673269053,5.518011427346437,8.15646600642765
29,29,19027,SÃO SIMÃO,394.2,1393.0,1068.0,0.0,1068.0,3048.93,31.04,,30/01/2022,2022-01-30,640.489166666667,323.547928281401,636.5326342726798,635.7213266441099,3.9565323939871178,4.7678400225570385
30,30,19027,SÃO SIMÃO,394.16,1468.33,1685.0,0.0,1685.0,3063.23,30.7,,31/01/2022,2022-01-31,1000.26579166667,324.224146934682,999.1415893891767,998.4640223079401,1.124202277493282,1.8017693587298709
31,31,19027,SÃO SIMÃO,394.11,1732.17,2003.0,0.0,2003.0,3214.63,30.28,,01/02/2022,2022-02-01,1188.943125,324.179844165331,1184.131708608581,1187.83463367057,4.811416391419016,1.1084913294300804
32,32,19027,SÃO SIMÃO,394.28,2008.83,1088.0,0.0,1088.0,3543.38,31.72,,02/02/2022,2022-02-02,655.095166666667,323.345115616345,649.0072507311797,647.9350126388465,6.087915935487217,7.160154027820454
33,33,19027,SÃO SIMÃO,394.44,1919.67,1053.0,0.0,1053.0,3745.5,33.07,,03/02/2022,2022-02-03,634.562916666667,323.444522762461,629.5444314910856,628.9388266685661,5.018485175581418,5.624089998100885
