,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2
0,19115,IRAPE,496.14,984,51,0,51,983.37,55.52,,01/01/2022,2022-01-01,68.3178333333333,338.325002145552
1,19115,IRAPE,496.99,1057,51,0,51,1056.34,57.87,,02/01/2022,2022-01-02,68.4495416666667,338.870754347748
2,19115,IRAPE,497.62,798,51,0,51,797.32,59.62,,03/01/2022,2022-01-03,68.2964166666667,339.854474897235
3,19115,IRAPE,498.1,620,50,0,50,619.3,60.96,,04/01/2022,2022-01-04,67.8684583333333,338.187524950027
4,19115,IRAPE,498.55,585,50,0,50,584.28,62.21,,05/01/2022,2022-01-05,68.098875,338.094614438071
5,19115,IRAPE,499.02,610,50,0,50,609.27,63.52,,06/01/2022,2022-01-06,68.3077916666667,338.07236248383
6,19115,IRAPE,499.54,670,50,0,50,669.25,64.97,,07/01/2022,2022-01-07,68.6700833333333,337.738726516116
7,19115,IRAPE,500.12,773,50,0,50,772.24,66.66,,08/01/2022,2022-01-08,68.0012916666667,339.894541457782
8,19115,IRAPE,500.73,899,50,0,50,898.23,68.65,,09/01/2022,2022-01-09,68.8057916666667,338.608968914409
9,19115,IRAPE,501.4,992,49,0,49,991.22,70.85,,10/01/2022,2022-01-10,68.435125,336.861569548482
10,19115,IRAPE,502.03,973,49,0,49,972.22,72.95,,11/01/2022,2022-01-11,68.7155833333333,336.817264153793
11,19115,IRAPE,502.6,858,50,0,50,857.21,74.82,,12/01/2022,2022-01-12,70.219125,337.148855973079
12,19115,IRAPE,503.04,675,49,0,49,674.22,76.29,,13/01/2022,2022-01-13,68.6738333333333,337.927643593026
13,19115,IRAPE,503.4,563,49,0,49,562.22,77.49,,14/01/2022,2022-01-14,68.3217083333333,339.134257007157
14,19115,IRAPE,503.66,421,49,0,49,420.23,78.36,,15/01/2022,2022-01-15,68.095875,339.937227626562
15,19115,IRAPE,503.81,264,49,0,49,263.24,78.86,,16/01/2022,2022-01-16,67.9362916666666,340.470913507064
16,19115,IRAPE,503.93,221,49,0,49,220.26,79.26,,17/01/2022,2022-01-17,68.658375,338.854810032104
17,19115,IRAPE,504.03,192,49,0,49,191.28,79.6,,18/01/2022,2022-01-18,68.7509583333333,338.732212113964
18,19115,IRAPE,504.11,163,48,0,48,162.31,79.87,,19/01/2022,2022-01-19,68.49975,335.985070789444
19,19115,IRAPE,504.19,165,50,2,48,163.33,80.14,,20/01/2022,2022-01-20,68.8045,335.317096203012
20,19115,IRAPE,504.27,164,49,0,49,148.56,80.41,,21/01/2022,2022-01-21,68.7505416666667,338.973213904775
21,19115,IRAPE,504.33,134,48,0,48,140.19,80.61,,22/01/2022,2022-01-22,68.6782083333333,335.767064889295
22,19115,IRAPE,504.38,120,48,0,48,128.42,80.77,,23/01/2022,2022-01-23,68.6981666666667,335.768079405716
23,19115,IRAPE,504.43,121,49,0,49,121.66,80.94,,24/01/2022,2022-01-24,68.7295833333333,339.183603982553
24,19115,IRAPE,504.36,106,209,0,209,117.29,80.7,,25/01/2022,2022-01-25,350.560291666667,306.75369346467
25,19115,IRAPE,504.27,130,256,0,256,121.13,80.41,,26/01/2022,2022-01-26,378.984416666667,329.862260672519
26,19115,IRAPE,504.17,112,256,0,256,128.37,80.07,,27/01/2022,2022-01-27,379.400666666667,329.570703399179
27,19115,IRAPE,504.09,139,257,0,257,136.81,79.79,,28/01/2022,2022-01-28,379.28775,330.22183988469
28,19115,IRAPE,504.13,157,97,0,97,143.44,79.94,,29/01/2022,2022-01-29,99.1917083333333,383.657478265361
29,19115,IRAPE,504.2,148,48,0,48,153.68,80.17,,30/01/2022,2022-01-30,67.8410833333333,337.691694013714
30,19115,IRAPE,504.28,163,48,0,48,155.73,80.44,,31/01/2022,2022-01-31,67.6917916666667,338.13811361218
31,19115,IRAPE,504.32,163,48,0,48,156.97,80.57,,01/02/2022,2022-02-01,68.3464166666667,336.571410204001
32,19115,IRAPE,504.39,149,48,0,48,158.15,80.81,,02/02/2022,2022-02-02,68.4978333333333,336.269775032126
33,19115,IRAPE,504.51,163,48,0,48,162.86,81.21,,03/02/2022,2022-02-03,67.0769583333333,339.877152851637
34,19115,IRAPE,504.62,206,48,0,48,205.91,81.58,,04/02/2022,2022-02-04,67.3024583333333,339.43368847349
35,19115,IRAPE,504.76,250,48,0,48,249.95,82.05,,05/02/2022,2022-02-05,67.9942083333333,337.875865929883
36,19115,IRAPE,504.89,235,48,0,48,235,82.49,,06/02/2022,2022-02-06,67.725625,338.665073502229
37,19115,IRAPE,505.02,235,48,0,48,235.05,82.93,,07/02/2022,2022-02-07,68.427,337.073627479068
38,19115,IRAPE,505.22,278,47,0,47,278.1,83.61,,08/02/2022,2022-02-08,67.6545416666667,335.636551025746
39,19115,IRAPE,505.39,294,48,0,48,294.15,84.18,,09/02/2022,2022-02-09,67.4959583333333,339.728764494902
40,19115,IRAPE,505.51,307,47,0,47,307.2,84.59,,10/02/2022,2022-02-10,67.7463333333333,335.696465254163
41,19115,IRAPE,505.74,380,47,0,47,380.25,85.37,,11/02/2022,2022-02-11,67.6883333333334,336.071848546965
42,19115,IRAPE,505.98,454,106,0,106,454.3,86.18,,12/02/2022,2022-02-12,157.5215,330.907336567369
43,19115,IRAPE,506.26,454,47,0,47,454.35,87.13,,13/02/2022,2022-02-13,67.1819166666667,337.861236866445
44,19115,IRAPE,506.52,425,47,0,47,425.41,88.02,,14/02/2022,2022-02-14,67.21375,338.041443162637
45,19115,IRAPE,506.7,456,194,0,194,456.46,88.63,,15/02/2022,2022-02-15,332.439708333333,304.818962458751
46,19115,IRAPE,506.85,467,251,0,251,467.5,89.13,,16/02/2022,2022-02-16,377.261333333333,329.776757818234
47,19115,IRAPE,507.12,480,77,0,77,480.55,90.08,,17/02/2022,2022-02-17,111.970833333333,335.803753460461
48,19115,IRAPE,507.44,561,99,0,99,561.6,91.16,,18/02/2022,2022-02-18,143.369166666667,336.829823719128
49,19115,IRAPE,507.72,662,252,0,252,662.64,92.12,,19/02/2022,2022-02-19,380.57075,329.802269251638
50,19115,IRAPE,508.29,975,137,24,113,975.69,94.08,,20/02/2022,2022-02-20,167.418916666667,333.743779528569
51,19115,IRAPE,508.54,786,412,160,252,786.74,94.95,,21/02/2022,2022-02-21,383.23,329.37906355206
52,19115,IRAPE,508.63,675,548,295,253,675.79,95.25,,22/02/2022,2022-02-22,383.352083333333,330.120360887153
53,19115,IRAPE,508.56,561,664,410,254,561.83,95.01,,23/02/2022,2022-02-23,383.8445,330.524761424508
54,19115,IRAPE,508.39,412,663,409,254,412.88,94.42,,24/02/2022,2022-02-24,382.859625,330.811567385234
55,19115,IRAPE,508.2,347,627,374,253,347.92,93.77,,25/02/2022,2022-02-25,382.946125,329.879397229275
56,19115,IRAPE,508.15,285,358,105,253,285.96,93.6,,26/02/2022,2022-02-26,382.106875,330.220197804357
57,19115,IRAPE,508.08,247,350,100,250,248,93.36,,27/02/2022,2022-02-27,378.3175,329.800754337498
58,19115,IRAPE,508.02,215,303,54,249,216.05,93.15,,28/02/2022,2022-02-28,376.192375,330.030244314441
59,19115,IRAPE,507.98,192,251,0,251,193.08,93.01,,01/03/2022,2022-03-01,378.699583333333,330.23169369672
60,19115,IRAPE,507.92,167,249,0,249,168.12,92.82,,02/03/2022,2022-03-02,377.498583333333,329.312231516801
61,19115,IRAPE,507.85,147,250,0,250,139.83,92.57,,03/03/2022,2022-03-03,377.628625,329.895381443978
62,19115,IRAPE,507.78,138,241,0,241,130.2,92.33,,04/03/2022,2022-03-04,362.351333333333,330.647934641199
63,19115,IRAPE,507.81,135,91,0,91,122.64,92.43,,05/03/2022,2022-03-05,99.46525,379.04010202248
64,19115,IRAPE,507.84,94,50,0,50,117.08,92.53,,06/03/2022,2022-03-06,67.67675,348.379230422994
65,19115,IRAPE,507.78,93,181,0,181,112.91,92.33,,07/03/2022,2022-03-07,311.782708333333,304.844598163281
66,19115,IRAPE,507.71,119,222,0,222,103.35,92.09,,08/03/2022,2022-03-08,331.856625,331.60086537821
67,19115,IRAPE,507.64,117,220,0,220,104.39,91.84,,09/03/2022,2022-03-09,331.998708333333,329.853787233211
68,19115,IRAPE,507.55,87,219,0,219,105.82,91.54,,10/03/2022,2022-03-10,331.694958333333,329.115379729935
69,19115,IRAPE,507.48,99,202,0,202,98.06,91.3,,11/03/2022,2022-03-11,302.339041666667,331.14958563127
70,19115,IRAPE,507.4,100,217,0,217,88.5,91.02,,12/03/2022,2022-03-12,331.534,327.408206260712
71,19115,IRAPE,507.41,80,65,0,65,85.74,91.06,,13/03/2022,2022-03-13,94.3814166666667,336.346442092121
72,19115,IRAPE,507.4,69,84,0,84,76.98,91.02,,14/03/2022,2022-03-14,136.181833333333,316.404007093411
73,19115,IRAPE,507.41,73,58,0,58,78.82,91.06,,15/03/2022,2022-03-15,78.7205416666667,347.511479412397
74,19115,IRAPE,507.41,55,55,0,55,69.66,91.06,,16/03/2022,2022-03-16,91.925875,310.5037740262
75,19115,IRAPE,507.43,87,58,0,58,70.1,91.13,,17/03/2022,2022-03-17,78.2469583333334,348.4934300389
76,19115,IRAPE,507.43,56,56,0,56,66.35,91.13,,18/03/2022,2022-03-18,88.9337083333333,320.334759281513
77,19115,IRAPE,507.44,71,56,0,56,66.99,91.16,,19/03/2022,2022-03-19,66.4945,367.551483968194
78,19115,IRAPE,507.44,54,54,0,54,62.44,91.16,,20/03/2022,2022-03-20,94.7689583333333,300.684670740163
79,19115,IRAPE,507.44,58,58,0,58,61.48,91.16,,21/03/2022,2022-03-21,71.8137916666667,361.570589015641
80,19115,IRAPE,507.45,64,49,0,49,58.73,91.19,,22/03/2022,2022-03-22,71.2509166666667,336.141567428784
81,19115,IRAPE,507.45,51,51,0,51,56.57,91.19,,23/03/2022,2022-03-23,81.5368333333333,319.098956799101
82,19115,IRAPE,507.45,57,57,0,57,57.61,91.19,,24/03/2022,2022-03-24,89.604125,322.251479481711
83,19115,IRAPE,507.44,43,58,0,58,57.06,91.16,,25/03/2022,2022-03-25,86.666,331.40252754555
84,19115,IRAPE,507.43,63,63,0,63,52.1,91.13,,26/03/2022,2022-03-26,86.0849583333333,346.450308962431
85,19115,IRAPE,507.43,40,46,0,46,51.74,91.11,,27/03/2022,2022-03-27,68.1981666666667,332.76767632922
86,19115,IRAPE,507.44,32,47,0,47,51.99,91.16,,28/03/2022,2022-03-28,81.0535,304.270608222019
87,19115,IRAPE,507.44,55,55,0,55,48.83,91.16,,29/03/2022,2022-03-29,88.005,318.932331002296
88,19115,IRAPE,507.43,38,53,0,53,46.27,91.13,,30/03/2022,2022-03-30,70.682125,350.314839455844
89,19115,IRAPE,507.42,47,47,0,47,47.51,91.09,,31/03/2022,2022-03-31,72.936,324.598002693051
90,19115,IRAPE,507.41,48,63,0,63,45.35,91.06,,01/04/2022,2022-04-01,107.000958333333,307.317189981713
91,19115,IRAPE,507.4,38,53,0,53,47.39,91.02,,02/04/2022,2022-04-02,67.996625,356.254280295962
92,19115,IRAPE,507.4,44,44,0,44,44.03,91.02,,03/04/2022,2022-04-03,67.745375,326.010835653865
93,19115,IRAPE,507.37,33,77,0,77,42.27,90.92,,04/04/2022,2022-04-04,111.389291666667,336.943516736966
94,19115,IRAPE,507.36,45,60,0,60,42.51,90.89,,05/04/2022,2022-04-05,85.0708333333333,340.322568978139
95,19115,IRAPE,507.35,39,51,0,51,41.35,90.86,,06/04/2022,2022-04-06,74.3302083333333,335.646345239593
96,19115,IRAPE,507.34,39,57,0,57,41.79,90.82,,07/04/2022,2022-04-07,84.8352083333333,331.998127388731
97,19115,IRAPE,507.34,38,44,0,44,40.43,90.8,,08/04/2022,2022-04-08,67.282625,327.189855082146
98,19115,IRAPE,507.33,35,44,0,44,39.66,90.78,,09/04/2022,2022-04-09,67.4274583333334,326.79206185932
99,19115,IRAPE,507.33,38,44,0,44,39.5,90.77,,10/04/2022,2022-04-10,67.2469583333333,327.275353067974
100,19115,IRAPE,507.33,38,50,0,50,41.93,90.77,,11/04/2022,2022-04-11,77.56425,324.572184403606
101,19115,IRAPE,507.33,41,44,0,44,44.97,90.78,,12/04/2022,2022-04-12,67.0520416666667,327.797245098003
102,19115,IRAPE,507.31,44,44,0,44,44.8,90.71,,13/04/2022,2022-04-13,66.75925,328.561198773721
