,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2
0,19018,NOVA PONTE,786.07,326.12,51,0,51,282.42,16.07,,01/01/2022,2022-01-01,31.224,713.942193063198
1,19018,NOVA PONTE,786.27,504.56,46,0,46,470.89,16.45,,02/01/2022,2022-01-02,31.153125,706.483732009811
2,19018,NOVA PONTE,786.45,546.73,134,0,134,600.55,16.79,,03/01/2022,2022-01-03,116.71925,683.832352261506
3,19018,NOVA PONTE,786.64,495.65,60,0,60,546.47,17.15,,04/01/2022,2022-01-04,30.8794166666667,726.007956920758
4,19018,NOVA PONTE,786.84,597.56,139,0,139,523,17.54,,05/01/2022,2022-01-05,120.402,684.792289340462
5,19018,NOVA PONTE,787.06,635.35,85,0,85,552.55,17.96,,06/01/2022,2022-01-06,66.1004166666667,695.444356422454
6,19018,NOVA PONTE,787.37,765.6,64,0,64,640.57,18.54,,07/01/2022,2022-01-07,41.4937916666667,710.988617732518
7,19018,NOVA PONTE,787.76,957.26,54,0,54,845.99,19.29,,08/01/2022,2022-01-08,31.5531666666667,718.92115785075
8,19018,NOVA PONTE,788.21,1076.83,45,0,45,1065.36,20.15,,09/01/2022,2022-01-09,30.8107083333333,707.547155226114
9,19018,NOVA PONTE,788.69,1145.46,45,0,45,1171.46,21.07,,10/01/2022,2022-01-10,30.6420416666667,708.46872680586
10,19018,NOVA PONTE,789.15,1185.75,131,0,131,1329.16,21.94,,11/01/2022,2022-01-11,115.509208333333,685.270541503951
11,19018,NOVA PONTE,789.63,1159.46,59,0,59,1415.99,22.86,,12/01/2022,2022-01-12,31.7642083333333,726.203552181439
12,19018,NOVA PONTE,790.06,1055.53,45,0,45,1273.52,23.7,,13/01/2022,2022-01-13,31.8703333333333,706.623042863333
13,19018,NOVA PONTE,790.29,714.64,93,0,93,848.5,24.22,,14/01/2022,2022-01-14,82.3967083333333,685.911445243517
14,19018,NOVA PONTE,790.44,548.32,143,0,143,618.62,24.56,,15/01/2022,2022-01-15,115.797291666667,695.040361306698
15,19018,NOVA PONTE,790.56,466.31,142,0,142,516.27,24.83,,16/01/2022,2022-01-16,115.761541666667,694.518192928058
16,19018,NOVA PONTE,790.67,439.34,142,0,142,457.88,25.07,,17/01/2022,2022-01-17,115.899458333333,694.513770074826
17,19018,NOVA PONTE,790.79,466.31,142,0,142,465.98,25.34,,18/01/2022,2022-01-18,116.203041666667,694.381901522365
18,19018,NOVA PONTE,790.91,466.31,142,0,142,452.29,25.61,,19/01/2022,2022-01-19,118.830583333333,692.321956039692
19,19018,NOVA PONTE,791.04,454.06,146,0,146,443.42,25.92,,20/01/2022,2022-01-20,122.082708333333,692.528787412735
20,19018,NOVA PONTE,791.15,463.92,172,0,172,426.78,26.16,,21/01/2022,2022-01-21,140.521083333333,694.900738096875
