,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2
0,19120,QUEIMADO,823.68,63.62,12,0,12,63.74,57.54,,01/01/2022,2022-01-01,18.9298333333333,637.835415800245
1,19120,QUEIMADO,823.84,62.39,12,0,12,64,58.66,,02/01/2022,2022-01-02,18.98725,637.431724807572
2,19120,QUEIMADO,824.01,63.57,12,0,12,63.07,59.8,,03/01/2022,2022-01-03,18.9852083333333,637.621768972043
3,19120,QUEIMADO,824.17,60.87,12,0,12,63.57,60.89,,04/01/2022,2022-01-04,18.9285,638.338505866838
4,19120,QUEIMADO,824.33,63.94,12,0,12,63.42,62.04,,05/01/2022,2022-01-05,18.9075833333333,638.70385628652
5,19120,QUEIMADO,824.47,63.04,12,0,12,64.47,63.03,,06/01/2022,2022-01-06,19.6745,631.314613607899
6,19120,QUEIMADO,824.63,63.62,12,0,12,63.88,64.18,,07/01/2022,2022-01-07,19.5685,632.515273902064
7,19120,QUEIMADO,824.79,62.79,12,0,12,63.33,65.3,,08/01/2022,2022-01-08,19.5697916666667,632.662592900052
8,19120,QUEIMADO,824.87,60.77,26,0,26,61.9,65.88,,09/01/2022,2022-01-09,47.6694583333333,608.87125167539
9,19120,QUEIMADO,824.93,62.13,41,0,41,63.01,66.35,,10/01/2022,2022-01-10,64.9548333333333,638.286881829315
10,19120,QUEIMADO,824.99,61.46,41,0,41,63.03,66.79,,11/01/2022,2022-01-11,64.9644583333333,638.319225072763
11,19120,QUEIMADO,825.11,65.68,41,0,41,64.91,67.71,,12/01/2022,2022-01-12,65.1255833333333,637.976243784505
12,19120,QUEIMADO,825.18,63.08,41,0,41,62.76,68.2,,13/01/2022,2022-01-13,65.1509583333333,637.973330517231
13,19120,QUEIMADO,825.23,57.78,41,0,41,57.87,68.57,,14/01/2022,2022-01-14,65.033375,638.3611979068
14,19120,QUEIMADO,825.26,51.07,41,0,41,53.83,68.79,,15/01/2022,2022-01-15,65.0568333333334,638.323792045593
15,19120,QUEIMADO,825.29,51.07,41,0,41,50.49,69.02,,16/01/2022,2022-01-16,65.0160833333333,638.470884287619
16,19120,QUEIMADO,825.31,47.83,41,0,41,49.34,69.17,,17/01/2022,2022-01-17,65.0901666666667,638.27801107052
17,19120,QUEIMADO,825.33,46.37,41,0,41,45.73,69.29,,18/01/2022,2022-01-18,65.12925,638.185707877247
18,19120,QUEIMADO,825.35,44.36,41,0,41,46.38,69.47,,19/01/2022,2022-01-19,65.0647916666667,638.390924337794
19,19120,QUEIMADO,825.33,41,41,0,41,42.51,69.32,,20/01/2022,2022-01-20,65.1482083333333,638.131232447674
20,19120,QUEIMADO,825.33,41,41,0,41,41.14,69.32,,21/01/2022,2022-01-21,65.2286666666667,637.900041119093
21,19120,QUEIMADO,825.35,37.53,41,0,41,37.95,69.47,,22/01/2022,2022-01-22,65.0769166666667,638.356084008111
22,19120,QUEIMADO,825.33,34.29,41,0,41,35.69,69.32,,23/01/2022,2022-01-23,65.1985,637.986722901533
23,19120,QUEIMADO,825.31,34.29,41,0,41,34.55,69.17,,24/01/2022,2022-01-24,65.1947916666667,637.97737853501
24,19120,QUEIMADO,825.29,34.17,41,0,41,35.43,69.02,,25/01/2022,2022-01-25,65.1225416666667,638.16498379848
25,19120,QUEIMADO,825.28,36.97,41,0,41,38.09,68.93,,26/01/2022,2022-01-26,65.1165833333333,638.172104647775
26,19120,QUEIMADO,825.28,44.36,41,0,41,40.13,68.94,,27/01/2022,2022-01-27,65.201875,637.927025077807
27,19120,QUEIMADO,825.28,41,41,0,41,41.57,68.94,,28/01/2022,2022-01-28,65.1837083333333,637.979225709222
28,19120,QUEIMADO,825.26,38.64,42,0,42,39.27,68.79,,29/01/2022,2022-01-29,71.497875,624.707440351155
29,19120,QUEIMADO,825.19,37.5,61,0,61,38.43,68.27,,30/01/2022,2022-01-30,97.593875,636.704870399748
30,19120,QUEIMADO,825.12,37.21,62,0,62,38.35,67.72,,31/01/2022,2022-01-31,97.8333333333333,639.219941364803
31,19120,QUEIMADO,825.13,39.64,43,0,43,38.83,67.79,,01/02/2022,2022-02-01,64.7818333333333,647.641939271806
32,19120,QUEIMADO,825.16,39.1,25,0,25,39.25,68.08,,02/02/2022,2022-02-02,34.7665833333333,661.325119220517
33,19120,QUEIMADO,825.21,36.43,23,0,23,37.28,68.42,,03/02/2022,2022-02-03,36.084875,640.376054311246
34,19120,QUEIMADO,825.25,36.43,23,0,23,36.61,68.72,,04/02/2022,2022-02-04,36.2915,639.357679742179
35,19120,QUEIMADO,825.29,36.43,23,0,23,36.31,69.02,,05/02/2022,2022-02-05,36.2805416666667,639.453810516864
36,19120,QUEIMADO,825.33,35.54,22,0,22,37.14,69.32,,06/02/2022,2022-02-06,35.148625,637.108155581376
37,19120,QUEIMADO,825.38,38.9,22,0,22,38,69.69,,07/02/2022,2022-02-07,34.7834166666667,639.113856155639
38,19120,QUEIMADO,825.43,39.01,22,0,22,39.16,70.07,,08/02/2022,2022-02-08,35.862375,633.386004886895
39,19120,QUEIMADO,825.49,39.01,22,0,22,40.06,70.49,,09/02/2022,2022-02-09,35.62675,634.707783180957
40,19120,QUEIMADO,825.54,41.49,21,0,21,43.22,70.9,,10/02/2022,2022-02-10,34.2719166666667,633.273569380296
41,19120,QUEIMADO,825.61,45.07,21,0,21,42.93,71.43,,11/02/2022,2022-02-11,34.2515416666667,633.457873711798
42,19120,QUEIMADO,825.67,41.6,21,0,21,43.02,71.89,,12/02/2022,2022-02-12,34.2523333333333,633.513432439204
43,19120,QUEIMADO,825.75,45.19,21,0,21,46.58,72.51,,13/02/2022,2022-02-13,34.282125,633.42630033895
44,19120,QUEIMADO,825.83,48.78,21,0,21,50.22,73.12,,14/02/2022,2022-02-14,34.65275,631.427083511321
45,19120,QUEIMADO,825.93,55.95,21,0,21,55.3,73.9,,15/02/2022,2022-02-15,33.3351666666667,638.918763615119
46,19120,QUEIMADO,826.04,60.37,21,0,21,60.46,74.77,,16/02/2022,2022-02-16,33.4351666666667,638.467760761121
