,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2
0,19027,SÃO SIMÃO,392.35,1417.17,713,0,713,2791.18,15.41,,01/01/2022,2022-01-01,421.93825,322.632190579573
1,19027,SÃO SIMÃO,392.51,1566.67,700,0,700,3162.13,16.76,,02/01/2022,2022-01-02,413.858166666667,322.857316204927
2,19027,SÃO SIMÃO,392.57,1613,1288,0,1288,3537.76,17.27,,03/01/2022,2022-01-03,755.787791666667,323.439710629087
3,19027,SÃO SIMÃO,392.6,1441.5,1279,0,1279,3845.71,17.52,,04/01/2022,2022-01-04,744.302125,324.041220143924
4,19027,SÃO SIMÃO,392.72,1886,1236,0,1236,4052.83,18.54,,05/01/2022,2022-01-05,724.579708333333,323.655946838189
5,19027,SÃO SIMÃO,392.83,1886.83,1291,0,1291,4262.47,19.47,,06/01/2022,2022-01-06,756.971333333333,323.752349757685
6,19027,SÃO SIMÃO,392.94,1816.83,1221,0,1221,4554.1,20.4,,07/01/2022,2022-01-07,718.42225,323.621608639361
7,19027,SÃO SIMÃO,393.14,2327.33,1244,0,1244,5114.54,22.09,,08/01/2022,2022-01-08,734.48725,323.581814204398
8,19027,SÃO SIMÃO,393.43,2289.83,719,0,719,5528.86,24.54,,09/01/2022,2022-01-09,431.783791666667,322.680754824288
9,19027,SÃO SIMÃO,393.58,2239.5,1427,0,1427,5614.25,25.8,,10/01/2022,2022-01-10,847.482875,323.613310838317
10,19027,SÃO SIMÃO,393.77,2361.17,1332,0,1332,6122.61,27.41,,11/01/2022,2022-01-11,846.773541666667,318.875932095653
11,19027,SÃO SIMÃO,393.73,2433.17,2054,0,2054,6747.02,27.07,,12/01/2022,2022-01-12,1212.35366666667,324.1934313138
12,19027,SÃO SIMÃO,393.8,2433.17,2054,0,2054,7253.87,27.66,,13/01/2022,2022-01-13,1235.40804166667,322.941109144303
13,19027,SÃO SIMÃO,394.2,2653.67,2112,0,2112,7392.25,31.04,,14/01/2022,2022-01-14,1254.64775,324.21382415366
14,19027,SÃO SIMÃO,394.25,2306.83,2036,0,2036,6933.22,31.46,,15/01/2022,2022-01-15,1209.80516666667,324.246133708724
15,19027,SÃO SIMÃO,394.45,1977.33,894,0,894,6239.28,33.15,,16/01/2022,2022-01-16,540.510041666667,323.222022418597
16,19027,SÃO SIMÃO,394.4,1824.67,1933,0,1933,5560.26,32.73,,17/01/2022,2022-01-17,1151.64941666667,324.210394202536
17,19027,SÃO SIMÃO,394.42,1882.33,1774,0,1774,4976.01,32.9,,18/01/2022,2022-01-18,1057.76591666667,324.174207100672
18,19027,SÃO SIMÃO,394.39,2032.5,2195,0,2195,4675.44,32.64,,19/01/2022,2022-01-19,1303.79654166667,324.412299776523
19,19027,SÃO SIMÃO,394.41,2175.83,2230,0,2230,4543.08,32.81,,20/01/2022,2022-01-20,1323.94354166667,324.466241194877
20,19027,SÃO SIMÃO,394.36,2118.17,2389,0,2389,4364.05,32.39,,21/01/2022,2022-01-21,1423.63925,324.1549797883
21,19027,SÃO SIMÃO,394.47,2179.5,1692,0,1692,4168.84,33.32,,22/01/2022,2022-01-22,1008.237625,324.268416738832
22,19027,SÃO SIMÃO,394.6,1807.41,1050,0,1050,3835.88,34.5,,23/01/2022,2022-01-23,667.263708333333,319.732631051186
23,19027,SÃO SIMÃO,394.54,1705.06,2062,0,2062,3488.14,33.95,,24/01/2022,2022-01-24,1310.494875,319.666000652227
24,19027,SÃO SIMÃO,394.43,1875.87,2493,0,2493,3246.64,32.98,,25/01/2022,2022-01-25,1475.63645833333,324.696499974535
25,19027,SÃO SIMÃO,394.32,1874.17,2470,0,2470,3113.5,32.05,,26/01/2022,2022-01-26,1461.81425,324.596432018001
26,19027,SÃO SIMÃO,394.21,1873.17,2469,0,2469,3073.07,31.12,,27/01/2022,2022-01-27,1470.75708333333,324.031476925747
27,19027,SÃO SIMÃO,394.11,1704.33,2246,0,2246,3037.39,30.28,,28/01/2022,2022-01-28,1328.00895833333,324.451259434777
28,19027,SÃO SIMÃO,394.14,1627.5,1465,0,1465,3057.01,30.53,,29/01/2022,2022-01-29,875.421333333333,323.741425286966
29,19027,SÃO SIMÃO,394.2,1393,1068,0,1068,3048.93,31.04,,30/01/2022,2022-01-30,640.489166666667,323.547928281401
30,19027,SÃO SIMÃO,394.16,1468.33,1685,0,1685,3063.23,30.7,,31/01/2022,2022-01-31,1000.26579166667,324.224146934682
31,19027,SÃO SIMÃO,394.11,1732.17,2003,0,2003,3214.63,30.28,,01/02/2022,2022-02-01,1188.943125,324.179844165331
32,19027,SÃO SIMÃO,394.28,2008.83,1088,0,1088,3543.38,31.72,,02/02/2022,2022-02-02,655.095166666667,323.345115616345
33,19027,SÃO SIMÃO,394.44,1919.67,1053,0,1053,3745.5,33.07,,03/02/2022,2022-02-03,634.562916666667,323.444522762461
34,19027,SÃO SIMÃO,394.6,1956.91,1037,0,1037,3913.84,34.5,,04/02/2022,2022-02-04,625.642708333333,323.522524164759
35,19027,SÃO SIMÃO,394.74,1802.87,970,0,970,3973.89,35.8,,05/02/2022,2022-02-05,599.632833333333,321.912058269434
36,19027,SÃO SIMÃO,394.88,1563.87,731,0,731,4017.63,37.1,,06/02/2022,2022-02-06,445.135291666667,323.14038919505
37,19027,SÃO SIMÃO,395,1838.89,1125,0,1125,4293.91,38.21,,07/02/2022,2022-02-07,684.647041666667,323.303397053535
38,19027,SÃO SIMÃO,395.16,2123.04,1086,0,1086,4723.29,39.83,,08/02/2022,2022-02-08,662.766583333333,323.262275870442
39,19027,SÃO SIMÃO,395.35,2117.48,886,0,886,4873.47,41.75,,09/02/2022,2022-02-09,543.519666666667,323.078693360258
40,19027,SÃO SIMÃO,395.54,2120.48,889,0,889,5011.58,43.67,,10/02/2022,2022-02-10,549.617541666667,322.70448594909
41,19027,SÃO SIMÃO,395.76,2406.93,981,0,981,5287.59,45.9,,11/02/2022,2022-02-11,606.748625,322.894129296968
42,19027,SÃO SIMÃO,395.97,2565.11,1204,0,1204,5433.28,48.02,,12/02/2022,2022-02-12,739.277125,323.632224938338
43,19027,SÃO SIMÃO,396.18,2257.11,896,0,896,5565.18,50.14,,13/02/2022,2022-02-13,556.817625,322.966810129405
44,19027,SÃO SIMÃO,396.24,2756.04,1719,0,1719,5652.75,50.75,,14/02/2022,2022-02-14,1053.26766666667,324.054953417726
45,19027,SÃO SIMÃO,396.35,2521.22,1549,0,1549,5747.46,51.86,,15/02/2022,2022-02-15,957.4825,323.527800398907
46,19027,SÃO SIMÃO,396.4,2248.07,1924,0,1924,5934.88,52.36,,16/02/2022,2022-02-16,1182.89666666667,323.968729076554
47,19027,SÃO SIMÃO,396.58,3148.67,1982,0,1982,6126.64,54.18,,17/02/2022,2022-02-17,1221.182375,323.992599646015
48,19027,SÃO SIMÃO,396.72,2574.04,1537,0,1537,6303.79,55.6,,18/02/2022,2022-02-18,953.34925,323.646059516998
49,19027,SÃO SIMÃO,396.94,2677.19,992,0,992,6276.28,57.82,,19/02/2022,2022-02-19,620.452625,323.25462135784
50,19027,SÃO SIMÃO,397.16,2341.56,786,0,786,6096.21,60.05,,20/02/2022,2022-02-20,495.716458333333,322.858914683575
51,19027,SÃO SIMÃO,397.18,2215.7,1762,0,1762,5861.38,60.25,,21/02/2022,2022-02-21,1093.08391666667,324.094374942747
52,19027,SÃO SIMÃO,397.32,2501.41,1594,0,1594,5719.11,61.66,,22/02/2022,2022-02-22,991.01125,324.075565047241
53,19027,SÃO SIMÃO,397.36,2158.26,1899,0,1899,5600.32,62.07,,23/02/2022,2022-02-23,1191.54779166667,323.438483687245
54,19027,SÃO SIMÃO,397.5,2455.15,1807,0,1807,5579.8,63.48,,24/02/2022,2022-02-24,1121.40229166667,324.388170402904
55,19027,SÃO SIMÃO,397.62,2379.78,1602,0,1602,5503.26,64.7,,25/02/2022,2022-02-25,1003.72475,323.806383040324
56,19027,SÃO SIMÃO,397.61,2068.19,2133,0,2133,5311.43,64.6,,26/02/2022,2022-02-26,1324.58816666667,324.449884766515
57,19027,SÃO SIMÃO,397.79,2355.67,1189,0,1189,4992.83,66.42,,27/02/2022,2022-02-27,745.18475,323.954287623075
58,19027,SÃO SIMÃO,397.84,2226.07,1902,0,1902,4606.92,66.92,,28/02/2022,2022-02-28,1184.40629166667,324.47742634977
59,19027,SÃO SIMÃO,397.79,2016.93,2341,0,2341,4264.77,66.42,,01/03/2022,2022-03-01,1453.54758333333,324.640357983341
60,19027,SÃO SIMÃO,397.68,1789.04,2502,0,2502,3968.04,65.3,,02/03/2022,2022-03-02,1548.283875,324.776622197661
61,19027,SÃO SIMÃO,397.59,2016.67,2600,0,2600,3719.8,64.39,,03/03/2022,2022-03-03,1606.75479166667,324.785098077738
62,19027,SÃO SIMÃO,397.5,2013.67,2597,0,2597,3518.42,63.48,,04/03/2022,2022-03-04,1603.88475,324.741192272236
63,19027,SÃO SIMÃO,397.41,1801.67,2385,0,2385,3379.76,62.57,,05/03/2022,2022-03-05,1488.14508333333,323.900874561154
64,19027,SÃO SIMÃO,397.47,1489.26,1230,0,1230,3339.08,63.18,,06/03/2022,2022-03-06,763.594916666667,324.332134321053
65,19027,SÃO SIMÃO,397.42,1807.3,2261,0,2261,3343.1,62.68,,07/03/2022,2022-03-07,1461.39820833333,321.273074392995
66,19027,SÃO SIMÃO,397.39,2135.3,2589,0,2589,3324.3,62.37,,08/03/2022,2022-03-08,1599.77091666667,324.593564890529
67,19027,SÃO SIMÃO,397.3,2014.67,2598,0,2598,3237.53,61.46,,09/03/2022,2022-03-09,1601.03075,324.6986173139
68,19027,SÃO SIMÃO,397.2,1936.85,2585,0,2585,3118.67,60.45,,10/03/2022,2022-03-10,1578.021125,325.282160732433
